Week,the economy: (United States),immigration: (United States),price of gas: (United States),us iran war: (United States),data centers: (United States)
8/10/2025,15,39,5,<1,6
8/17/2025,16,38,3,<1,6
8/24/2025,20,40,4,<1,5
8/31/2025,22,43,3,<1,5
9/7/2025,24,47,3,<1,5
9/14/2025,26,48,4,<1,6
9/21/2025,27,49,4,<1,7
9/28/2025,26,48,4,<1,7
10/5/2025,22,45,3,<1,7
10/12/2025,22,44,3,<1,8
10/19/2025,24,45,4,<1,7
10/26/2025,28,45,5,<1,8
11/2/2025,29,49,6,<1,10
11/9/2025,30,51,7,<1,10
11/16/2025,31,59,7,<1,10
11/23/2025,22,47,8,<1,9
11/30/2025,35,64,10,<1,11
12/7/2025,36,60,9,<1,12
12/14/2025,27,53,8,<1,11
12/21/2025,16,41,7,<1,9
12/28/2025,19,42,7,11,9
1/4/2026,27,57,7,2,10
1/11/2026,31,81,7,3,12
1/18/2026,32,76,9,1,12
1/25/2026,35,98,11,2,12
2/1/2026,45,86,9,2,15
2/8/2026,36,71,7,1,13
2/15/2026,34,65,8,5,15
2/22/2026,39,64,10,25,17
3/1/2026,36,64,21,100,21
3/8/2026,33,61,26,59,16
3/15/2026,32,53,25,36,17
3/22/2026,35,58,19,30,16
3/29/2026,30,53,18,29,16
4/5/2026,30,54,16,29,16
4/12/2026,34,51,15,17,19
4/19/2026,33,54,12,13,20
4/26/2026,33,63,16,8,18
5/3/2026,34,58,16,9,22
5/10/2026,31,50,14,8,30
5/17/2026,27,65,13,8,35
5/24/2026,23,58,12,8,33
5/31/2026,27,62,12,7,37
6/7/2026,26,60,12,9,35
6/14/2026,25,56,12,11,25
6/21/2026,24,57,10,6,26
6/28/2026,21,57,14,5,28
7/5/2026,21,61,10,7,26
7/12/2026,17,48,6,8,26
7/19/2026,15,59,7,12,26
7/26/2026,11,36,5,7,23
8/2/2026,11,34,4,5,22
8/9/2026,12,34,5,6,19
