Region,the economy: (8/10/25 - 8/10/26),immigration: (8/10/25 - 8/10/26),price of gas: (8/10/25 - 8/10/26),us iran war: (8/10/25 - 8/10/26),data centers: (8/10/25 - 8/10/26)
Wyoming,25%,40%,13%,7%,15%
Kansas,23%,43%,9%,9%,16%
District of Columbia,18%,53%,6%,6%,17%
Texas,26%,47%,7%,7%,13%
Georgia,27%,44%,7%,7%,15%
California,22%,50%,8%,9%,11%
Virginia,22%,46%,7%,7%,18%
Louisiana,30%,43%,8%,7%,12%
Oklahoma,29%,40%,9%,7%,15%
North Carolina,27%,44%,8%,8%,13%
Washington,22%,47%,9%,9%,13%
Utah,24%,45%,8%,8%,15%
Arizona,23%,48%,8%,8%,13%
New York,21%,52%,7%,7%,13%
New Jersey,22%,52%,7%,8%,11%
Maryland,20%,50%,7%,7%,16%
Florida,21%,52%,9%,7%,11%
Pennsylvania,24%,42%,9%,8%,17%
Colorado,23%,45%,8%,9%,15%
Massachusetts,20%,52%,7%,8%,13%
South Carolina,29%,43%,8%,7%,13%
Nevada,23%,49%,7%,7%,14%
Indiana,26%,41%,9%,7%,17%
Missouri,24%,42%,9%,8%,17%
New Mexico,24%,46%,9%,8%,13%
Michigan,25%,40%,10%,8%,17%
Illinois,20%,52%,8%,7%,13%
Kentucky,27%,40%,8%,8%,17%
Tennessee,26%,42%,9%,9%,14%
Arkansas,28%,42%,9%,8%,13%
Alabama,27%,42%,9%,8%,14%
Delaware,24%,48%,8%,8%,12%
Mississippi,29%,40%,9%,9%,13%
Oregon,21%,49%,9%,7%,14%
Minnesota,21%,52%,8%,6%,13%
Iowa,24%,44%,9%,8%,15%
Nebraska,25%,46%,8%,8%,13%
Connecticut,22%,51%,8%,8%,11%
Wisconsin,23%,41%,10%,7%,19%
Ohio,22%,40%,10%,8%,20%
South Dakota,27%,38%,10%,9%,16%
Hawaii,23%,49%,7%,10%,11%
North Dakota,23%,40%,10%,9%,18%
Idaho,23%,44%,11%,9%,13%
Alaska,22%,43%,10%,11%,14%
Montana,24%,35%,11%,10%,20%
Rhode Island,21%,52%,8%,9%,10%
Vermont,22%,44%,11%,10%,13%
West Virginia,24%,32%,12%,10%,22%
New Hampshire,22%,46%,10%,9%,13%
Maine,20%,47%,10%,10%,13%
